SITE,SNCSadj,SUBAREA,CHAN,UNIT,CHANWID,uparea,elev,grad,discharge,width,depth,sinu,val_width,fp_width,flowvel,bf_flow,strmpow,vwi,valcnstrnt,gp_warm,gp_cool,gp_avg,rsf,count1k,count5k,count10k,sub1k,sub5k,sub10k,SUBCAT,TR,ME,BA,BK
UM24,19,262.5,main,pool,13.3,847.31,302,0,0.38,2.42,0.92,1.02,612.64,575.65,0.68,1.54,1.51,252.41,237.48,3.71,2.65,3.18,0.05,15,29,73,1277.41,1817.93,8202.78,LARGE,1,0,0,1
UM32,0,36.72,main,glide,13.5,854.69,278.57,0.01,0.38,2.42,0.92,1.01,275.36,202.95,2.75,6.19,970.75,113.66,83.93,3.71,2.65,3.18,0.03,3,24,55,90.19,1888.18,4317.4,SMALL,0,0,1,0
UM37,44,54.34,secondary,pool,32.9,862.57,267.43,2.00E-03,0.39,2.43,0.93,1.01,424.74,294.95,0.97,2.21,43.39,174.41,121.09,3.7,2.63,3.16,0.04,9,18,66,626.15,1808.95,5881.97,MEDIUM,1,0,0,1
UM38,5,27.72,main,glide,15.3,862.88,267.75,1.00E-03,0.39,2.44,0.93,1.02,171.8,124.38,0.69,1.57,15.43,70.23,50.88,3.7,2.63,3.16,0.05,7,18,68,449.68,1808.95,6002.87,SMALL,0,0,1,0
UM40,75,137.88,main,run,14.3,862.9,266,0.01,0.38,2.41,0.93,1.01,343.21,279.71,2.38,5.35,629.42,142.39,116.06,3.7,2.63,3.16,0.03,7,18,70,449.68,1803.67,6115.27,MEDIUM,0,0,1,0
UM43,27,45.5,secondary,pool,14.3,863.04,264.29,0.01,0.38,2.4,0.93,1.02,537.3,452.06,2.38,5.34,628.19,223.25,187.89,3.7,2.63,3.16,0.04,7,20,82,449.68,1937.39,7601.69,SMALL,0,0,1,1
UM46,142,297.82,main,pool,12.2,863.18,260.58,0.01,0.38,2.41,0.93,1,998.03,447.76,2.66,5.98,879.91,414.01,185.63,3.7,2.63,3.16,0.03,4,31,82,847.9,2728.03,17734.65,LARGE,1,1,0,0
UM47,57,410.4,main,glide,23.7,863.19,260.23,0,0.37,2.39,0.93,1.01,500.24,252.39,0.68,1.53,1.5,209.11,105.86,3.7,2.63,3.16,0.04,5,34,83,963.4,3316.43,17759.6,LARGE,0,0,1,1
UM49,12,30.72,main,glide,12.3,863.25,258.1,4.00E-03,0.39,2.45,0.93,1,537.69,412.3,1.38,3.16,123.98,219.11,167.88,3.7,2.63,3.16,0.04,3,41,86,189.41,3951.07,18242.14,SMALL,0,0,1,0
UM50,0,43.2,main,glide,15.6,863.25,257.8,2.00E-03,0.4,2.46,0.93,1,682.97,483.86,0.98,2.25,44.15,276.7,195.99,3.7,2.63,3.16,0.05,5,41,87,287.13,3844.11,18351.34,SMALL,1,0,1,0
